Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","076","Brazil","5510","Production","01312","Bananas","2022","2022","t","6923179","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01312","Bananas","2023","2023","ha","456522","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01312","Bananas","2023","2023","kg/ha","14951.6","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01312","Bananas","2023","2023","t","6825724","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0115","Barley","2022","2022","ha","129581","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0115","Barley","2022","2022","kg/ha","4028.3","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0115","Barley","2022","2022","t","521996","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0115","Barley","2023","2023","ha","131981","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0115","Barley","2023","2023","kg/ha","2844.5","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0115","Barley","2023","2023","t","375423","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01701","Beans, dry","2022","2022","ha","2635041","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01701","Beans, dry","2022","2022","kg/ha","1090.1","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01701","Beans, dry","2022","2022","t","2872474","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01701","Beans, dry","2023","2023","ha","2465222","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01701","Beans, dry","2023","2023","kg/ha","1176","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01701","Beans, dry","2023","2023","t","2899043","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","24310.01","Beer of barley, malted","2022","2022","t","16363768","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5114","Stocks","02196","Bees","2022","2022","No","1024128","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5114","Stocks","02196","Bees","2023","2023","No","1026934","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","02960.01","Beeswax","2022","2022","t","1781.8","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","02960.01","Beeswax","2023","2023","t","1786.74","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01377","Brazil nuts, in shell","2022","2022","t","38169","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01377","Brazil nuts, in shell","2023","2023","t","35351","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01702","Broad beans and horse beans, dry","2022","2022","ha","35654","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01702","Broad beans and horse beans, dry","2022","2022","kg/ha","339","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01702","Broad beans and horse beans, dry","2022","2022","t","12088","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01702","Broad beans and horse beans, dry","2023","2023","ha","33153","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01702","Broad beans and horse beans, dry","2023","2023","kg/ha","312.9","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01702","Broad beans and horse beans, dry","2023","2023","t","10372","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01192","Buckwheat","2022","2022","ha","47438","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01192","Buckwheat","2022","2022","kg/ha","1356.9","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01192","Buckwheat","2022","2022","t","64367.74","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01192","Buckwheat","2023","2023","ha","47490","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01192","Buckwheat","2023","2023","kg/ha","1360.5","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01192","Buckwheat","2023","2023","t","64611.39","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5111","Stocks","02112","Buffalo","2022","2022","An","1597741","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5111","Stocks","02112","Buffalo","2023","2023","An","1672956","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","22241.01","Butter of cow milk","2022","2022","t","146589","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","22230.04","Buttermilk, dry","2022","2022","t","11864.66","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01229","Cantaloupes and other melons","2022","2022","ha","27466","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01229","Cantaloupes and other melons","2022","2022","kg/ha","25480.7","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01229","Cantaloupes and other melons","2022","2022","t","699853","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01229","Cantaloupes and other melons","2023","2023","ha","30535","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01229","Cantaloupes and other melons","2023","2023","kg/ha","28242.6","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01229","Cantaloupes and other melons","2023","2023","t","862387","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01372","Cashew nuts, in shell","2022","2022","ha","424832","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01372","Cashew nuts, in shell","2022","2022","kg/ha","346.5","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01372","Cashew nuts, in shell","2022","2022","t","147184","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01372","Cashew nuts, in shell","2023","2023","ha","441892","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01372","Cashew nuts, in shell","2023","2023","kg/ha","289.5","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01372","Cashew nuts, in shell","2023","2023","t","127931","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01359.02","Cashewapple","2022","2022","ha","424832","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01359.02","Cashewapple","2022","2022","kg/ha","2539","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01359.02","Cashewapple","2022","2022","t","1078662.27","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01359.02","Cashewapple","2023","2023","ha","441892","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01359.02","Cashewapple","2023","2023","kg/ha","2402.9","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01359.02","Cashewapple","2023","2023","t","1061822.37","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01520.01","Cassava, fresh","2022","2022","ha","1186291","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01520.01","Cassava, fresh","2022","2022","kg/ha","15026.5","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01520.01","Cassava, fresh","2022","2022","t","17825792","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01520.01","Cassava, fresh","2023","2023","ha","1201440","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01520.01","Cassava, fresh","2023","2023","kg/ha","15410.1","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01520.01","Cassava, fresh","2023","2023","t","18514317","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01447","Castor oil seeds","2022","2022","ha","47756","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01447","Castor oil seeds","2022","2022","kg/ha","871.9","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01447","Castor oil seeds","2022","2022","t","41639","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01447","Castor oil seeds","2023","2023","ha","48938","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01447","Castor oil seeds","2023","2023","kg/ha","880","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01447","Castor oil seeds","2023","2023","t","43064","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5111","Stocks","02111","Cattle","2022","2022","An","234352649","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5111","Stocks","02111","Cattle","2023","2023","An","238626442","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","21512","Cattle fat, unrendered","2022","2022","t","337959.18","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5320","Producing Animals/Slaughtered","21512","Cattle fat, unrendered","2022","2022","An","42250000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","21512","Cattle fat, unrendered","2023","2023","t","364408.16","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5320","Producing Animals/Slaughtered","21512","Cattle fat, unrendered","2023","2023","An","45560000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","22251.02","Cheese from skimmed cow milk","2022","2022","t","12073","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","22251.01","Cheese from whole cow milk","2022","2022","t","47627.25","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5112","Stocks","02151","Chickens","2022","2022","1000 An","1568518","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5112","Stocks","02151","Chickens","2023","2023","1000 An","1577570","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01640","Cocoa beans","2022","2022","ha","602785","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01640","Cocoa beans","2022","2022","kg/ha","499.4","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01640","Cocoa beans","2022","2022","t","301026","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01640","Cocoa beans","2023","2023","ha","612775","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01640","Cocoa beans","2023","2023","kg/ha","483.3","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01640","Cocoa beans","2023","2023","t","296145","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","2166","Coconut oil","2022","2022","t","12665","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01460","Coconuts, in shell","2022","2022","ha","189525","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01460","Coconuts, in shell","2022","2022","kg/ha","14480.5","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01460","Coconuts, in shell","2022","2022","t","2744418","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01460","Coconuts, in shell","2023","2023","ha","186712","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01460","Coconuts, in shell","2023","2023","kg/ha","15523.5","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01460","Coconuts, in shell","2023","2023","t","2898423","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","2022","2022","ha","1867392","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01610","Coffee, green","2022","2022","kg/ha","1702.5","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01610","Coffee, green","2022","2022","t","3179176","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","2023","2023","ha","1920889","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01610","Coffee, green","2023","2023","kg/ha","1772.8","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01610","Coffee, green","2023","2023","t","3405267","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01921.02","Cotton lint, ginned","2022","2022","t","2470414","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0143","Cotton seed","2022","2022","t","3720400","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","2168","Cottonseed oil","2022","2022","t","281518","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","22120","Cream, fresh","2022","2022","t","7852.87","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5112","Stocks","02154","Ducks","2022","2022","1000 An","3411","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5112","Stocks","02154","Ducks","2023","2023","1000 An","3384","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2022","2022","t","1330714.29","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5320","Producing Animals/Slaughtered","21151","Edible offal of cattle, fresh, chilled or frozen","2022","2022","An","42250000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2023","2023","t","1434857.14","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5320","Producing Animals/Slaughtered","21151","Edible offal of cattle, fresh, chilled or frozen","2023","2023","An","45560000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","21156","Edible offal of goat, fresh, chilled or frozen","2022","2022","t","8334.47","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5320","Producing Animals/Slaughtered","21156","Edible offal of goat, fresh, chilled or frozen","2022","2022","An","3355221","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","21156","Edible offal of goat, fresh, chilled or frozen","2023","2023","t","8455.14","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5320","Producing Animals/Slaughtered","21156","Edible offal of goat, fresh, chilled or frozen","2023","2023","An","3403651","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","21153","Edible offal of pigs, fresh, chilled or frozen","2022","2022","t","340814.19","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5320","Producing Animals/Slaughtered","21153","Edible offal of pigs, fresh, chilled or frozen","2022","2022","An","56465504","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","21153","Edible offal of pigs, fresh, chilled or frozen","2023","2023","t","348191.48","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5320","Producing Animals/Slaughtered","21153","Edible offal of pigs, fresh, chilled or frozen","2023","2023","An","57172947","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","21155","Edible offal of sheep, fresh, chilled or frozen","2022","2022","t","20206.96","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5320","Producing Animals/Slaughtered","21155","Edible offal of sheep, fresh, chilled or frozen","2022","2022","An","6692685","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","21155","Edible offal of sheep, fresh, chilled or frozen","2023","2023","t","20749.85","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5320","Producing Animals/Slaughtered","21155","Edible offal of sheep, fresh, chilled or frozen","2023","2023","An","6872479","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","21159.01","Edible offals of horses and other equines,  fresh, chilled or frozen","2022","2022","t","4743.96","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5320","Producing Animals/Slaughtered","21159.01","Edible offals of horses and other equines,  fresh, chilled or frozen","2022","2022","An","171475","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","21159.01","Edible offals of horses and other equines,  fresh, chilled or frozen","2023","2023","t","4758.6","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5320","Producing Animals/Slaughtered","21159.01","Edible offals of horses and other equines,  fresh, chilled or frozen","2023","2023","An","171947","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5413","Yield","0232","Eggs from other birds in shell, fresh, n.e.c.","2022","2022","No/An","250","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5424","Yield/Carcass Weight","0232","Eggs from other birds in shell, fresh, n.e.c.","2022","2022","g/An","2809","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0232","Eggs from other birds in shell, fresh, n.e.c.","2022","2022","t","30900","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5513","Production","0232","Eggs from other birds in shell, fresh, n.e.c.","2022","2022","1000 No","2750328","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5313","Laying","0232","Eggs from other birds in shell, fresh, n.e.c.","2022","2022","1000 An","11000","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5413","Yield","0232","Eggs from other birds in shell, fresh, n.e.c.","2023","2023","No/An","250","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5424","Yield/Carcass Weight","0232","Eggs from other birds in shell, fresh, n.e.c.","2023","2023","g/An","2808","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0232","Eggs from other birds in shell, fresh, n.e.c.","2023","2023","t","33700","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5513","Production","0232","Eggs from other birds in shell, fresh, n.e.c.","2023","2023","1000 No","3004176","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5313","Laying","0232","Eggs from other birds in shell, fresh, n.e.c.","2023","2023","1000 An","12000","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","21511.01","Fat of pigs","2022","2022","t","614947.34","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5320","Producing Animals/Slaughtered","21511.01","Fat of pigs","2022","2022","An","56465504","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","21511.01","Fat of pigs","2023","2023","t","628258.54","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5320","Producing Animals/Slaughtered","21511.01","Fat of pigs","2023","2023","An","57172947","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01315","Figs","2022","2022","ha","2130","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01315","Figs","2022","2022","kg/ha","8557.3","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01315","Figs","2022","2022","t","18227","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01315","Figs","2023","2023","ha","2006","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01315","Figs","2023","2023","kg/ha","10409.3","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01315","Figs","2023","2023","t","20881","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","21515","Goat fat, unrendered","2022","2022","t","1363.82","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5320","Producing Animals/Slaughtered","21515","Goat fat, unrendered","2022","2022","An","3355221","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","21515","Goat fat, unrendered","2023","2023","t","1383.57","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5320","Producing Animals/Slaughtered","21515","Goat fat, unrendered","2023","2023","An","3403651","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5111","Stocks","02123","Goats","2022","2022","An","12390490","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5111","Stocks","02123","Goats","2023","2023","An","12891493","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01330","Grapes","2022","2022","ha","74796","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01330","Grapes","2022","2022","kg/ha","19395.9","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01330","Grapes","2022","2022","t","1450738","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01330","Grapes","2023","2023","ha","77019","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01330","Grapes","2023","2023","kg/ha","22824.1","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01330","Grapes","2023","2023","t","1757891","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01252","Green garlic","2022","2022","ha","13307","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01252","Green garlic","2022","2022","kg/ha","13627.6","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01252","Green garlic","2022","2022","t","181343","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01252","Green garlic","2023","2023","ha","13544","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01252","Green garlic","2023","2023","kg/ha","13647.7","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01252","Green garlic","2023","2023","t","184844","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","23913","Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg","2022","2022","t","463","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","2162","Groundnut oil","2022","2022","t","154800","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0142","Groundnuts, excluding shelled","2022","2022","ha","220461","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0142","Groundnuts, excluding shelled","2022","2022","kg/ha","3848.2","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0142","Groundnuts, excluding shelled","2022","2022","t","848385","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0142","Groundnuts, excluding shelled","2023","2023","ha","235687","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0142","Groundnuts, excluding shelled","2023","2023","kg/ha","3713.4","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0142","Groundnuts, excluding shelled","2023","2023","t","875205","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5413","Yield","0231","Hen eggs in shell, fresh","2022","2022","No/An","226","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5424","Yield/Carcass Weight","0231","Hen eggs in shell, fresh","2022","2022","g/An","12905","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0231","Hen eggs in shell, fresh","2022","2022","t","3318848","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5513","Production","0231","Hen eggs in shell, fresh","2022","2022","1000 No","58225404","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5313","Laying","0231","Hen eggs in shell, fresh","2022","2022","1000 An","257181","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5413","Yield","0231","Hen eggs in shell, fresh","2023","2023","No/An","228","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5424","Yield/Carcass Weight","0231","Hen eggs in shell, fresh","2023","2023","g/An","12968","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0231","Hen eggs in shell, fresh","2023","2023","t","3416575","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5513","Production","0231","Hen eggs in shell, fresh","2023","2023","1000 No","59939904","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5313","Laying","0231","Hen eggs in shell, fresh","2023","2023","1000 An","263463","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5417","Yield/Carcass Weight","21118.01","Horse meat, fresh or chilled","2022","2022","kg/An","131","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","21118.01","Horse meat, fresh or chilled","2022","2022","t","22454.72","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5320","Producing Animals/Slaughtered","21118.01","Horse meat, fresh or chilled","2022","2022","An","171475","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5417","Yield/Carcass Weight","21118.01","Horse meat, fresh or chilled","2023","2023","kg/An","131","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","21118.01","Horse meat, fresh or chilled","2023","2023","t","22524.05","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5320","Producing Animals/Slaughtered","21118.01","Horse meat, fresh or chilled","2023","2023","An","171947","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5111","Stocks","02131","Horses","2022","2022","An","5834752","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5111","Stocks","02131","Horses","2023","2023","An","5799514","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01922.01","Jute, raw or retted","2022","2022","ha","15","A","Official figure",""
